Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
137 /ii/pl_pl/_7931/200x100/200x100ron/5d45320f/pfnzm/,5,170,145,230,"31,25","0,00%","7,1","2,84","412,0"
143 /a/i/wiadomosci/2011/ico_star.png,5,52,38,68,"10,42","0,00%","9,2","7,97","890,0"
145 /a/i/wptv3/sprites/minimal_age_icon.png,5,121,55,321,"100,88","0,00%","6,1","24,34","4098,0"
136 /bs/,5,214,179,285,"38,11","0,00%","5,1","3,46","690,0"
146 /redir,5,253,140,629,"188,00","0,00%","5,9","12,88","2229,0"
149 /,5,57,45,75,"10,48","0,00%","6,8","4,78","716,2"
144 /redir,5,235,126,586,"176,47","0,00%","5,8","12,60","2229,0"
150 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/492769225/x28/OasDefault/BusinessClick_Wiadomosci_boks28/2boksy-028.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","6,8","8,04","1215,0"
148 /redir,5,129,97,187,"30,51","0,00%","5,9","12,76","2229,0"
152 /a/i/wiadomosci/box-reporter-header.png,5,65,44,86,"14,76","0,00%","6,2","24,93","4115,0"
153 /a/i/wiadomosci/box-reporter-bg.png,5,82,41,148,"40,73","0,00%","5,5","93,19","17367,0"
151 /awrapper,5,110,83,124,"14,55","0,00%","5,1","25,23","5110,8"
155 /arrow-3.png,5,44,39,59,"7,42","0,00%","5,5","3,62","673,2"
154 /18414/a56a82fee3e14e4b9f2a35d47c25c24c/1368e0017860f1e7bfeac8b67a5263ab.jpeg,5,125,49,352,"114,69","0,00%","5,5","37,34","6982,2"
156 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L-27/1500402189/x06/OasDefault/92747_208301_Suzuki_naglowek_tapeta_wiadomosci_03/78635_190153_wiadomosci_bosh_nagltap_01a1620656620657624099626059626388642578646124648883.html/572b63595731616a6851454144755847,5,43,31,56,"8,08","0,00%","8,2","3,96","492,0"
158 /r0047775077/show.gif,5,92,73,117,"17,06","0,00%","7,4","12,21","1701,0"
157 /pages/scripts/0011/6469.js,5,143,116,179,"20,99","0,00%","6,6","3,10","478,0"
159 /Uk0vQm94LzIwMTYtMDEvX21pcmVrLzEz/moto_naglowek_1920x142_v2.jpg,5,0,0,1,"0,40","100,00%","8,7","17,77","2089,0"
160 /g/fsc.gif,5,57,34,83,"17,42","0,00%","8,0","3,56","455,0"
147 /as/ADX_nowy_brakkodu.html,5,740,715,793,"27,50","0,00%","3,7","8,93","2459,2"
